run_id,group,bike,p_number,source_file,sample_rate_hz,raw_n_rows,active_start_idx,active_end_idx,active_n_rows,active_duration_s,table_ride_time_s
G01_FAT_P1,G01,FAT,P1,G01\Sagemotion Sensor Data\g1_fat_p1.csv,100.0,903,15,765,750,7.5,7.5
G01_FAT_P2,G01,FAT,P2,G01\Sagemotion Sensor Data\g1_fat_p2.csv,100.0,1038,246,986,740,7.4,7.4
G01_FAT_P3,G01,FAT,P3,G01\Sagemotion Sensor Data\G1_FAT_P3.csv,100.0,2531,1264,1838,574,5.74,5.74
G01_FAT_P4,G01,FAT,P4,G01\Sagemotion Sensor Data\G1_FAT_P4.csv,100.0,1234,356,987,631,6.31,6.31
G01_ISY_P1,G01,ISY,P1,G01\Sagemotion Sensor Data\g1_isy_p1.csv,100.0,1134,235,1060,825,8.25,8.25
G01_ISY_P2,G01,ISY,P2,G01\Sagemotion Sensor Data\g1_isy_p2.csv,100.0,1062,183,920,737,7.37,7.37
G01_ISY_P3,G01,ISY,P3,G01\Sagemotion Sensor Data\G1_ISY_P3.csv,100.0,1258,338,957,619,6.19,6.19
G01_ISY_P4,G01,ISY,P4,G01\Sagemotion Sensor Data\G1_ISY_P4.csv,100.0,1160,333,890,557,5.57,5.57
G01_MTB_P1,G01,MTB,P1,G01\Sagemotion Sensor Data\g1_mtb_p1.csv,100.0,1098,319,1051,732,7.32,7.32
G01_MTB_P2,G01,MTB,P2,G01\Sagemotion Sensor Data\g1_mtb_p2.csv,100.0,954,184,872,688,6.88,6.88
G01_MTB_P3,G01,MTB,P3,G01\Sagemotion Sensor Data\G1_MTB_P3.csv,100.0,896,180,797,617,6.17,6.17
G01_MTB_P4,G01,MTB,P4,G01\Sagemotion Sensor Data\G1_MTB_P4.csv,100.0,755,200,696,496,4.96,4.96
G02_FAT_P1,G02,FAT,P1,G02\Sagemotion Sensor Data\g2_fat_p1.csv,100.0,723,192,667,475,4.75,4.75
G02_FAT_P2,G02,FAT,P2,G02\Sagemotion Sensor Data\g2_fat_p2.csv,100.0,861,224,804,580,5.8,5.8
G02_FAT_P3,G02,FAT,P3,G02\Sagemotion Sensor Data\G2_FAT_P3.csv,100.0,3950,777,1381,604,6.04,6.04
G02_FAT_P4,G02,FAT,P4,G02\Sagemotion Sensor Data\G2_FAT_P4.csv,100.0,1252,419,1060,641,6.41,6.41
G02_ISY_P1,G02,ISY,P1,G02\Sagemotion Sensor Data\g2_isy_p1.csv,100.0,957,177,847,670,6.7,6.7
G02_ISY_P2,G02,ISY,P2,G02\Sagemotion Sensor Data\g2_isy_p2.csv,100.0,914,255,865,610,6.1,6.1
G02_ISY_P3,G02,ISY,P3,G02\Sagemotion Sensor Data\G2_ISY_P3.csv,100.0,1235,372,903,531,5.31,5.31
G02_ISY_P4,G02,ISY,P4,G02\Sagemotion Sensor Data\G2_ISY_P4.csv,100.0,1410,375,939,564,5.64,5.64
G02_MTB_P1,G02,MTB,P1,G02\Sagemotion Sensor Data\g2_mtb_p1.csv,100.0,956,342,882,540,5.4,5.4
G02_MTB_P2,G02,MTB,P2,G02\Sagemotion Sensor Data\g2_mtb_p2.csv,100.0,755,134,704,570,5.7,5.7
G02_MTB_P3,G02,MTB,P3,G02\Sagemotion Sensor Data\G2_MTB_P3.csv,100.0,876,329,819,490,4.9,4.9
G02_MTB_P4,G02,MTB,P4,G02\Sagemotion Sensor Data\G2_MTB_P4.csv,100.0,770,212,727,515,5.15,5.15
G03_FAT_P1,G03,FAT,P1,G03\Sagemotion Sensor Data\g3_fat_p1.csv,100.0,1235,340,1153,813,8.13,8.13
G03_FAT_P2,G03,FAT,P2,G03\Sagemotion Sensor Data\g3_fat_p2.csv,100.0,1022,171,903,732,7.32,7.32
G03_FAT_P3,G03,FAT,P3,G03\Sagemotion Sensor Data\G3_FAT_P3.csv,100.0,1249,389,989,600,6.0,6.0
G03_FAT_P4,G03,FAT,P4,G03\Sagemotion Sensor Data\G3_FAT_P4.csv,100.0,1506,365,1010,645,6.45,6.45
G03_ISY_P1,G03,ISY,P1,G03\Sagemotion Sensor Data\g3_isy_p1.csv,100.0,1171,312,1078,766,7.66,7.66
G03_ISY_P2,G03,ISY,P2,G03\Sagemotion Sensor Data\g3_isy_p2.csv,100.0,1227,293,1085,792,7.92,7.92
G03_ISY_P3,G03,ISY,P3,G03\Sagemotion Sensor Data\G3_ISY_P3.csv,100.0,1201,323,853,530,5.3,5.3
G03_ISY_P4,G03,ISY,P4,G03\Sagemotion Sensor Data\G3_ISY_P4.csv,100.0,1138,331,867,536,5.36,5.36
G03_MTB_P1,G03,MTB,P1,G03\Sagemotion Sensor Data\g3_mtb_p1.csv,100.0,977,183,884,701,7.01,7.01
G03_MTB_P2,G03,MTB,P2,G03\Sagemotion Sensor Data\g3_mtb_p2.csv,100.0,1068,197,886,689,6.89,6.89
G03_MTB_P3,G03,MTB,P3,G03\Sagemotion Sensor Data\G3_MTB_P3.csv,100.0,754,236,686,450,4.5,4.5
G03_MTB_P4,G03,MTB,P4,G03\Sagemotion Sensor Data\G3_MTB_P4.csv,100.0,900,229,829,600,6.0,6.0
G04_FAT_P1,G04,FAT,P1,G04\Sagemotion Sensor Data\g4_fat_p1.csv,100.0,925,190,849,659,6.59,6.59
G04_FAT_P2,G04,FAT,P2,G04\Sagemotion Sensor Data\g4_fat_p2.csv,100.0,808,45,745,700,7.0,7.0
G04_FAT_P3,G04,FAT,P3,G04\Sagemotion Sensor Data\G4_FAT_P3.csv,100.0,1284,375,1009,634,6.34,6.34
G04_FAT_P4,G04,FAT,P4,G04\Sagemotion Sensor Data\G4_FAT_P4.csv,100.0,1334,333,1056,723,7.23,7.23
G04_ISY_P1,G04,ISY,P1,G04\Sagemotion Sensor Data\g4_isy_p1.csv,100.0,880,80,788,708,7.08,7.08
G04_ISY_P2,G04,ISY,P2,G04\Sagemotion Sensor Data\g4_isy_p2.csv,100.0,852,114,775,661,6.61,6.61
