model_name,stage,candidate_type,feature_config,feature_space,n_features_in,pca_components,hidden_layers,hidden_units,activation,alpha,aggregate_method,n_seeds,run_balanced_weights,cv_run_accuracy,cv_macro_f1,cv_min_group_accuracy,cv_group_accuracy_std,cv_mean_confidence,cv_n_runs,cv_n_windows,cv_selection_score,model_complexity,near_best_cutoff,is_near_best
bike_type_ffnn_ensemble_ens3_signal_full_pca10_tanh_h6_a1,ensemble,ffnn_classifier,signal_full_pca10,signal_full,128,10,"(6,)",6,tanh,1.0,mean_proba,3,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.8482043762539698,72,873,0.0197610402224262,16.0,0.0397610402224262,True
bike_type_ffnn_stage1_s42_signal_full_pca10_tanh_h6_a1,stage1,ffnn_classifier,signal_full_pca10,signal_full,128,10,"(6,)",6,tanh,1.0,mean_proba,1,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.8386000905726436,72,873,0.0197610402224262,16.0,0.0397610402224262,True
bike_type_ffnn_ensemble_ens3_signal_full_pca10_tanh_h8x4_a1,ensemble,ffnn_classifier,signal_full_pca10,signal_full,128,10,"(8, 4)",12,tanh,1.0,mean_proba,3,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.8406465247968244,72,873,0.0197610402224262,22.0,0.0397610402224262,True
bike_type_ffnn_stage1_s42_signal_full_pca10_tanh_h8x4_a1,stage1,ffnn_classifier,signal_full_pca10,signal_full,128,10,"(8, 4)",12,tanh,1.0,mean_proba,1,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.8383768375590135,72,873,0.0197610402224262,22.0,0.0397610402224262,True
bike_type_ffnn_ensemble_ens3_signal_compact_pca10_tanh_h12x6_a1,ensemble,ffnn_classifier,signal_compact_pca10,signal_compact,24,10,"(12, 6)",18,tanh,1.0,mean_proba,3,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.7803978016671084,72,873,0.0197610402224262,28.0,0.0397610402224262,True
bike_type_ffnn_ensemble_ens3_signal_full_pca10_tanh_h12x6_a1,ensemble,ffnn_classifier,signal_full_pca10,signal_full,128,10,"(12, 6)",18,tanh,1.0,mean_proba,3,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.8410858265452923,72,873,0.0197610402224262,28.0,0.0397610402224262,True
bike_type_ffnn_stage1_s42_signal_full_pca10_tanh_h12x6_a1,stage1,ffnn_classifier,signal_full_pca10,signal_full,128,10,"(12, 6)",18,tanh,1.0,mean_proba,1,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.844665783298497,72,873,0.0197610402224262,28.0,0.0397610402224262,True
bike_type_ffnn_stage1_s42_signal_compact_pca10_tanh_h12x6_a1,stage1,ffnn_classifier,signal_compact_pca10,signal_compact,24,10,"(12, 6)",18,tanh,1.0,mean_proba,1,True,0.9722222222222222,0.9722161914411155,0.8333333333333334,0.06211299937499414,0.7690894864256923,72,873,0.03951604966374557,28.0,0.0397610402224262,True
bike_type_ffnn_stage1_s42_signal_compact_pca10_tanh_h6_a1,stage1,ffnn_classifier,signal_compact_pca10,signal_compact,24,10,"(6,)",6,tanh,1.0,mean_proba,1,True,0.9583333333333334,0.9586107492642447,0.9166666666666666,0.041666666666666685,0.7697449470640669,72,873,0.05013925073575528,16.0,0.0397610402224262,False
bike_type_ffnn_stage1_s42_signal_compact_pca6_tanh_h6_a1,stage1,ffnn_classifier,signal_compact_pca6,signal_compact,24,6,"(6,)",6,tanh,1.0,mean_proba,1,True,0.9305555555555556,0.9310854776693286,0.8333333333333334,0.05726535591135639,0.6298793893561238,72,873,0.08476495366756276,12.0,0.0397610402224262,False
