feature_name,source_type,feature_family,selected_final_input,pearson_to_pressure,spearman_to_pressure,within_bike_mean_abs_spearman,within_bike_mean_signed_spearman,abs_pearson_to_pressure,abs_spearman_to_pressure,abs_spearman_rank
bike_FAT,bike_context,bike_type,True,-0.740887643394066,-0.8386278693775346,,,0.740887643394066,0.8386278693775346,1
acc_spectral_centroid_mean,acceleration_signal,spectral_centroid,True,0.5858022348433334,0.6073265935286861,0.48143286017355885,0.48143286017355885,0.5858022348433334,0.6073265935286861,5
acc_band_15_30_power_mean,acceleration_signal,band_15_30_power,True,0.501213020897555,0.5009205965548185,0.5230498461217643,0.5230498461217643,0.501213020897555,0.5009205965548185,21
acc_band_3_8_power_mean,acceleration_signal,band_3_8_power,True,-0.5130308024426092,-0.48605942379310507,0.3849571200209007,-0.2922647422271703,0.5130308024426092,0.48605942379310507,25
acc_energy_per_s_mean,acceleration_signal,energy_per_s,True,0.501461606015528,0.4713964000015479,0.3764445547133133,0.3764445547133133,0.501461606015528,0.4713964000015479,30
acc_spectral_entropy_mean,acceleration_signal,spectral_entropy,True,0.46757589842448194,0.4675324950835024,0.47481197604543524,0.47481197604543524,0.46757589842448194,0.4675324950835024,33
acc_p95_abs_mean,acceleration_signal,p95_abs,True,0.48773277188494946,0.44821297049327513,0.36887782999545765,0.36887782999545765,0.48773277188494946,0.44821297049327513,37
acc_ptp_mean,acceleration_signal,ptp,True,0.43962950122487154,0.42800177553734486,0.34901517761108686,0.34901517761108686,0.43962950122487154,0.42800177553734486,41
acc_std_mean,acceleration_signal,std,True,0.4414743658228023,0.4194813698206292,0.33104420640618,0.33104420640618,0.4414743658228023,0.4194813698206292,43
bike_ISY,bike_context,bike_type,True,0.37044382169703294,0.4193139346887673,,,0.37044382169703294,0.4193139346887673,44
bike_MTB,bike_context,bike_type,True,0.3704438216970329,0.4193139346887673,,,0.3704438216970329,0.4193139346887673,44
acc_rms_mean,acceleration_signal,rms,True,0.45266958533489143,0.41918414636539497,0.3433401340726953,0.3433401340726953,0.45266958533489143,0.41918414636539497,45
acc_band_0p5_3_power_mean,acceleration_signal,band_0p5_3_power,True,-0.31969007217497214,-0.3255587579666007,0.2724020898427995,-0.2686187274838718,0.31969007217497214,0.3255587579666007,60
gyro_band_8_15_power_mean,gyro_signal,band_8_15_power,True,0.31929231221041676,0.3215957785634772,0.14660529140845113,0.14660529140845113,0.31929231221041676,0.3215957785634772,61
acc_dom_freq_mean,acceleration_signal,dom_freq,True,0.394544318376993,0.3114700112485398,0.2293175033515191,0.09999062173885327,0.394544318376993,0.3114700112485398,63
gyro_band_15_30_power_mean,gyro_signal,band_15_30_power,True,-0.236614350785493,-0.2826595059277882,0.413332337712859,0.36793198940572575,0.236614350785493,0.2826595059277882,71
gyro_band_0p5_3_power_mean,gyro_signal,band_0p5_3_power,True,-0.18031412846095174,-0.13702001286299723,0.22511006035620237,-0.1021507836910498,0.18031412846095174,0.13702001286299723,94
gyro_ptp_mean,gyro_signal,ptp,True,0.16007599355174143,0.12641904295964168,0.2052474079718316,0.15228033494684282,0.16007599355174143,0.12641904295964168,96
