model_name,actual_level_bar,predicted_level_bar,n_runs
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.4,0.4,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.4,0.6,6
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.4,0.8,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.4,1,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.4,2,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.4,3,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.6,0.4,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.6,0.6,6
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.6,0.8,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.6,1,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.6,2,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.6,3,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.8,0.4,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.8,0.6,11
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.8,0.8,1
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.8,1,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.8,2,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,0.8,3,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,1,0.4,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,1,0.6,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,1,0.8,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,1,1,8
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,1,2,4
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,1,3,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,2,0.4,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,2,0.6,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,2,0.8,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,2,1,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,2,2,9
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,2,3,3
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,3,0.4,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,3,0.6,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,3,0.8,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,3,1,0
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,3,2,5
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,3,3,19
