model_name,stage,candidate_type,feature_config,feature_space,n_features_in,pca_components,hidden_layers,hidden_units,activation,alpha,aggregate_method,n_seeds,run_balanced_weights,cv_run_mae_bar,cv_run_rmse_bar,cv_run_bias_bar,cv_run_max_abs_error_bar,cv_run_error_std_bar,cv_group_mae_std_bar,cv_bike_mae_std_bar,cv_nearest_level_accuracy,cv_nearest_level_macro_f1,cv_n_runs,cv_n_windows,cv_selection_score,model_complexity,near_best_ffnn_cutoff,is_near_best_ffnn
ffnn_training_pool_ensemble_ens3_compact_pca6_tanh_h8x4_a1_median,ensemble,ffnn,compact_pca6,compact,27,6.0,"(8, 4)",12,tanh,1.0,median,3,True,0.28579037887122244,0.3830846740236561,0.03020842095830858,1.0494290585624722,0.25510336496497654,0.030098539682371903,0.18170569706919304,0.5694444444444444,0.42392903717920327,72,873,0.38049409748801366,18.0,0.3995188023624144,True
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8x4_a1_median,ensemble,ffnn,compact_weight_pca6,compact_weight,28,6.0,"(8, 4)",12,tanh,1.0,median,3,True,0.2900289414960125,0.3879874584053013,0.030783607127798658,1.121292711605899,0.25771589197119366,0.02962077464473699,0.17308576782970078,0.5972222222222222,0.4656210356360282,72,873,0.3888593068689596,18.0,0.3995188023624144,True
ffnn_training_pool_stage1_s42_compact_weight_pca6_tanh_h8x4_a1_median,stage1,ffnn,compact_weight_pca6,compact_weight,28,6.0,"(8, 4)",12,tanh,1.0,median,1,True,0.30285662820452547,0.41009898647964843,0.034494076209266825,1.1608703775002138,0.2765122808560601,0.025017710116619175,0.18867339944879927,0.5694444444444444,0.4583109245765184,72,873,0.4061099846519262,18.0,0.3995188023624144,False
ffnn_training_pool_ensemble_ens3_compact_pca6_tanh_h8_a0p1_median,ensemble,ffnn,compact_pca6,compact,27,6.0,"(8,)",8,tanh,0.1,median,3,True,0.3104696446115054,0.4271295381682239,0.019335439287998555,1.2532122935629193,0.29333980662468184,0.020466712974959236,0.2159023519283435,0.5833333333333334,0.46403248167954053,72,873,0.4183907584245224,14.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_compact_pca6_tanh_h8x4_a1_median,stage1,ffnn,compact_pca6,compact,27,6.0,"(8, 4)",12,tanh,1.0,median,1,True,0.2998792082246451,0.41223398626060054,0.04492471539567701,1.4407581734140242,0.2828591874110949,0.028991969154561665,0.18385246439712064,0.5416666666666666,0.4152177228704339,72,873,0.4185027461356109,18.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_compact_pca6_tanh_h4_a1_median,stage1,ffnn,compact_pca6,compact,27,6.0,"(4,)",4,tanh,1.0,median,1,True,0.31488962245743973,0.41566476157369764,0.014558659579123827,1.2174905257497124,0.2713332262785558,0.014235432643020806,0.18561281162293414,0.5416666666666666,0.42500766765472653,72,873,0.4192135538394981,10.0,0.3995188023624144,False
ffnn_training_pool_ensemble_ens3_compact_pca6_tanh_h4_a1_median,ensemble,ffnn,compact_pca6,compact,27,6.0,"(4,)",4,tanh,1.0,median,3,True,0.31887305687514333,0.43448524380250875,0.015110010253486215,1.1860512545313848,0.29512268750678433,0.022084532812338412,0.20371760534901742,0.5416666666666666,0.41921828745186307,72,873,0.42379768099168225,10.0,0.3995188023624144,False
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8_a0p1_median,ensemble,ffnn,compact_weight_pca6,compact_weight,28,6.0,"(8,)",8,tanh,0.1,median,3,True,0.3261148058520306,0.4404897775333799,0.0008391311527536175,1.2323354729607843,0.2961087258347834,0.030260922828976,0.20448896706182432,0.5416666666666666,0.4368606701940035,72,873,0.43277229805355244,14.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_compact_pca6_tanh_h8_a0p1_median,stage1,ffnn,compact_pca6,compact,27,6.0,"(8,)",8,tanh,0.1,median,1,True,0.32755901859348446,0.4514337556351351,-0.0032749214623292353,1.2618732684492264,0.3106405077656747,0.024581881725635323,0.21886917734587424,0.6111111111111112,0.5105820105820106,72,873,0.4368610061774612,14.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_compact_pca6_tanh_h8_a1_median,stage1,ffnn,compact_pca6,compact,27,6.0,"(8,)",8,tanh,1.0,median,1,True,0.32652207385191345,0.44112797244894403,0.017275538739614224,1.3710874899757304,0.29660954698789094,0.030871671667394723,0.2051765754374787,0.5694444444444444,0.46233766233766227,72,873,0.44184294961957765,14.0,0.3995188023624144,False
