group,run_id,bike,p_number,p_order,dataset_role,pressure_bar,rider_weight_kg,n_windows,sample_rate_hz,window_s,acc_energy_per_s_mean_median,acc_rms_mean_median,gyro_energy_per_s_mean_median,gyro_rms_mean_median
G01,G01_FAT_P1,FAT,P1,1,training_pool,0.4,91.0,14,100.0,1.0,1115.8694273021335,3.320948383349673,9425.266764506418,9.620193568635624
G01,G01_FAT_P2,FAT,P2,2,training_pool,0.8,91.0,14,100.0,1.0,1961.9723672561113,4.35638041698887,8744.247209839621,9.329883265971212
G01,G01_FAT_P3,FAT,P3,3,training_pool,0.8,100.0,11,100.0,1.0,5997.949083905507,7.663392919744913,22479.913013481884,14.464301301828362
G01,G01_FAT_P4,FAT,P4,4,training_pool,0.6,100.0,12,100.0,1.0,4210.296700361863,6.433659893933587,14518.60758548419,11.928126239671283
G01,G01_ISY_P1,ISY,P1,1,training_pool,1.0,91.0,16,100.0,1.0,1220.758364218371,3.4484979090691272,6451.558117719924,7.9039248975926455
G01,G01_ISY_P2,ISY,P2,2,training_pool,3.0,91.0,14,100.0,1.0,3903.3232441487016,6.140556646150403,9561.699261233498,9.72790796305266
G01,G01_ISY_P3,ISY,P3,3,training_pool,3.0,100.0,12,100.0,1.0,8237.767185748431,8.854099866908857,17999.539081133917,13.382906961292685
G01,G01_ISY_P4,ISY,P4,4,training_pool,2.0,100.0,11,100.0,1.0,9103.803031719952,9.37563132189348,16878.99191197625,12.9918075488877
G01,G01_MTB_P1,MTB,P1,1,training_pool,2.0,91.0,14,100.0,1.0,1689.405102361866,3.9875619352785927,11091.460531462417,10.053116838110483
G01,G01_MTB_P2,MTB,P2,2,training_pool,3.0,91.0,13,100.0,1.0,3956.3313223012183,5.822237605211167,8096.557514745938,8.995436355386413
G01,G01_MTB_P3,MTB,P3,3,training_pool,3.0,100.0,12,100.0,1.0,5542.4187735783435,6.775811110581464,15404.702790549,11.386523162512553
G01,G01_MTB_P4,MTB,P4,4,training_pool,1.0,100.0,9,100.0,1.0,5021.85758523479,6.7174641946823686,24202.79479139651,14.453265606046006
G02,G02_FAT_P1,FAT,P1,1,training_pool,0.4,63.0,9,100.0,1.0,6902.91156385382,8.082942491372906,25895.491882182843,15.889409677645322
G02,G02_FAT_P2,FAT,P2,2,training_pool,0.8,63.0,11,100.0,1.0,9375.447389336055,9.568933661403518,25832.865276068806,15.965328027202522
G02,G02_FAT_P3,FAT,P3,3,training_pool,0.8,106.0,12,100.0,1.0,6150.1486839284335,7.717941240499511,21639.11870776169,14.417256002393238
G02,G02_FAT_P4,FAT,P4,4,training_pool,0.6,106.0,12,100.0,1.0,6043.439609277422,7.635244162206353,16162.399612067113,12.516558846029428
G02,G02_ISY_P1,ISY,P1,1,training_pool,1.0,63.0,13,100.0,1.0,3585.671939794111,5.903032360685508,17357.82940827791,13.173573518899904
G02,G02_ISY_P2,ISY,P2,2,training_pool,3.0,63.0,12,100.0,1.0,11193.876320705647,10.420409969680781,18173.200757002218,13.471423325154374
G02,G02_ISY_P3,ISY,P3,3,training_pool,3.0,106.0,10,100.0,1.0,11043.30870784654,10.344647768465677,23216.637830036194,15.22601480794376
G02,G02_ISY_P4,ISY,P4,4,training_pool,2.0,106.0,11,100.0,1.0,7754.543007944735,8.656966100259815,16864.057797468853,12.98307314522301
G02,G02_MTB_P1,MTB,P1,1,training_pool,2.0,63.0,10,100.0,1.0,8068.447604105082,8.508573556037604,24496.623690229644,14.9941716504098
G02,G02_MTB_P2,MTB,P2,2,training_pool,3.0,63.0,11,100.0,1.0,10489.521471488097,10.07701659568658,16487.682698385695,12.571026449186395
G02,G02_MTB_P3,MTB,P3,3,training_pool,3.0,106.0,9,100.0,1.0,9378.988691305589,9.264398569702104,29174.50742157672,15.92220326365761
G02,G02_MTB_P4,MTB,P4,4,training_pool,1.0,106.0,10,100.0,1.0,4756.923372066372,6.654886820213734,26447.536305742666,15.402117364762496
G03,G03_FAT_P1,FAT,P1,1,training_pool,0.4,120.0,16,100.0,1.0,1016.4007853042832,3.173418351106026,8876.699840529785,8.989699123319788
G03,G03_FAT_P2,FAT,P2,2,training_pool,0.8,120.0,14,100.0,1.0,3361.730491826929,5.690333088921317,8282.574501784315,8.918111686452715
G03,G03_FAT_P3,FAT,P3,3,training_pool,0.8,109.0,11,100.0,1.0,5530.379512645489,7.285221312823561,18183.583543867906,13.48239227536181
G03,G03_FAT_P4,FAT,P4,4,training_pool,0.6,109.0,12,100.0,1.0,5093.582479594559,7.055513160470036,17706.300444996472,13.193876594692288
G03,G03_ISY_P1,ISY,P1,1,training_pool,1.0,120.0,15,100.0,1.0,1430.8037055343493,3.7698407891972234,9394.791538158384,9.692529529566137
G03,G03_ISY_P2,ISY,P2,2,training_pool,3.0,120.0,15,100.0,1.0,2501.407510329492,4.9172633018934615,8917.678467777856,9.44121690201024
G03,G03_ISY_P3,ISY,P3,3,training_pool,3.0,109.0,10,100.0,1.0,9485.072726962853,9.533511811300471,21411.399108978687,14.573710054139946
G03,G03_ISY_P4,ISY,P4,4,training_pool,2.0,109.0,10,100.0,1.0,8129.462154373147,8.870334883586441,17599.98501239979,13.259201271869534
G03,G03_MTB_P1,MTB,P1,1,training_pool,2.0,120.0,14,100.0,1.0,1138.8835213418845,3.3068015951311747,7692.325325550346,8.563711344267315
G03,G03_MTB_P2,MTB,P2,2,training_pool,3.0,120.0,13,100.0,1.0,3667.7062168247776,6.049095171544604,12340.639099480128,11.069302241564372
G03,G03_MTB_P3,MTB,P3,3,training_pool,3.0,109.0,8,100.0,1.0,9159.0005085638,8.810919505643275,40421.1659188553,19.06039360175729
G03,G03_MTB_P4,MTB,P4,4,training_pool,1.0,109.0,11,100.0,1.0,3293.2063480007923,5.449092784127123,17224.627151428904,12.658894524805305
G04,G04_FAT_P1,FAT,P1,1,training_pool,0.4,73.0,13,100.0,1.0,2462.2113344377794,4.777112506693231,14279.934079349112,11.946773313944188
G04,G04_FAT_P2,FAT,P2,2,training_pool,0.8,73.0,13,100.0,1.0,3904.731893356562,6.185532827116858,17275.70188017958,13.094019864218964
G04,G04_FAT_P3,FAT,P3,3,training_pool,0.8,75.0,12,100.0,1.0,6956.593733698026,8.23393733231611,15839.205270660601,12.40873383767756
G04,G04_FAT_P4,FAT,P4,4,training_pool,0.6,75.0,14,100.0,1.0,3694.0413406007933,5.855519905772429,15819.515869881401,12.507663219534631
G04,G04_ISY_P1,ISY,P1,1,training_pool,1.0,73.0,14,100.0,1.0,4025.614225467079,6.243240836410656,10556.635191997575,10.27322346253358
G04,G04_ISY_P2,ISY,P2,2,training_pool,3.0,73.0,13,100.0,1.0,8000.74949362492,8.792729570836215,16464.439697466085,12.823012488341401
G04,G04_ISY_P3,ISY,P3,3,training_pool,3.0,75.0,12,100.0,1.0,11675.145361902561,10.552733432567575,18310.07404306395,13.525513677586915
G04,G04_ISY_P4,ISY,P4,4,training_pool,2.0,75.0,11,100.0,1.0,9214.689799755399,9.398353909381225,17843.942301649906,13.346023017849578
G04,G04_MTB_P1,MTB,P1,1,training_pool,2.0,73.0,12,100.0,1.0,6158.319149604618,7.527283616849926,18590.400310724457,12.934085204325974
G04,G04_MTB_P2,MTB,P2,2,training_pool,3.0,73.0,13,100.0,1.0,2501.6672508345027,5.001172181169448,8737.557420383184,9.05328956290916
G04,G04_MTB_P3,MTB,P3,3,training_pool,3.0,75.0,11,100.0,1.0,9088.790575408775,9.167151830531896,25327.534118840864,14.949502736764517
G04,G04_MTB_P4,MTB,P4,4,training_pool,1.0,75.0,12,100.0,1.0,5544.793985089811,7.06718985358233,20487.707077460298,13.865709270049475
G05,G05_FAT_P1,FAT,P1,1,training_pool,0.4,63.0,10,100.0,1.0,8502.334028107121,9.039998159460392,24786.167944795907,15.733901926244705
G05,G05_FAT_P2,FAT,P2,2,training_pool,0.8,63.0,13,100.0,1.0,3779.0019194323477,6.127362161366898,20624.412134239272,12.90148465131016
G05,G05_FAT_P3,FAT,P3,3,training_pool,0.8,79.0,12,100.0,1.0,5136.011643276715,7.003432590655359,14024.510062503105,11.718225505050736
G05,G05_FAT_P4,FAT,P4,4,training_pool,0.6,79.0,12,100.0,1.0,5944.471970130178,7.6304184470546055,16246.032330760281,12.69311283405566
G05,G05_ISY_P1,ISY,P1,1,training_pool,1.0,63.0,14,100.0,1.0,5065.149460129149,7.03463128990525,12511.69707070796,11.174428671979275
G05,G05_ISY_P2,ISY,P2,2,training_pool,3.0,63.0,13,100.0,1.0,6383.297102012095,7.9793361730769465,13883.0712502042,11.770318760206868
G05,G05_ISY_P3,ISY,P3,3,training_pool,3.0,79.0,12,100.0,1.0,11259.454277867499,10.344235812216692,18863.674999669325,13.731958552112772
G05,G05_ISY_P4,ISY,P4,4,training_pool,2.0,79.0,9,100.0,1.0,7940.849379070285,8.89862965628402,18309.411361101855,13.53081298194631
G05,G05_MTB_P1,MTB,P1,1,training_pool,2.0,63.0,12,100.0,1.0,6499.321651028751,7.776917211346735,14698.880705616173,11.686606820671049
G05,G05_MTB_P2,MTB,P2,2,training_pool,3.0,63.0,12,100.0,1.0,8184.808348776014,8.7442455409562,13242.795740969315,11.123715943206909
G05,G05_MTB_P3,MTB,P3,3,training_pool,3.0,79.0,10,100.0,1.0,7326.745603681637,8.32869472736851,23574.415985037165,14.126601900581552
G05,G05_MTB_P4,MTB,P4,4,training_pool,1.0,79.0,11,100.0,1.0,5390.841010520409,6.940250681206271,20669.385967019545,13.360861433902079
G06,G06_FAT_P1,FAT,P1,1,training_pool,0.4,67.0,15,100.0,1.0,1508.4335588601996,3.879411418812775,10733.307627581455,10.354456148830703
G06,G06_FAT_P2,FAT,P2,2,training_pool,0.8,67.0,15,100.0,1.0,3257.509198799826,5.526601914289903,13444.031272845223,11.590661085858866
G06,G06_FAT_P3,FAT,P3,3,training_pool,0.8,82.0,13,100.0,1.0,3578.1449233034455,5.8781220238662675,15043.708388319114,12.253307129472716
G06,G06_FAT_P4,FAT,P4,4,training_pool,0.6,82.0,12,100.0,1.0,5399.806689760091,7.209719784820333,18564.225643315916,13.597565696577487
G06,G06_ISY_P1,ISY,P1,1,training_pool,1.0,67.0,15,100.0,1.0,2541.160162462679,4.991186882819877,10595.100307830444,10.293198065364946
G06,G06_ISY_P2,ISY,P2,2,training_pool,3.0,67.0,15,100.0,1.0,4333.24532333896,6.561766339923789,12172.066301035202,11.032701729194713
G06,G06_ISY_P3,ISY,P3,3,training_pool,3.0,82.0,12,100.0,1.0,6942.724755070036,8.271602717834387,16476.130403732757,12.833539701416623
G06,G06_ISY_P4,ISY,P4,4,training_pool,2.0,82.0,11,100.0,1.0,8776.48150680574,9.21554987401269,25697.958809957203,16.030463166856546
G06,G06_MTB_P1,MTB,P1,1,training_pool,2.0,67.0,10,100.0,1.0,6391.17969061817,7.671730540680882,19534.896006232637,13.35556767104685
G06,G06_MTB_P2,MTB,P2,2,training_pool,3.0,67.0,13,100.0,1.0,7088.608538618276,6.840576080465754,11150.261478500432,10.225298258341791
G06,G06_MTB_P3,MTB,P3,3,training_pool,3.0,82.0,11,100.0,1.0,8642.141007375827,8.839723004251306,23904.74250598585,14.311449358189758
G06,G06_MTB_P4,MTB,P4,4,training_pool,1.0,82.0,10,100.0,1.0,6932.855294714278,7.941240122934181,25082.900638753345,14.763765310506216
