feature_name,spearman_to_pressure,within_bike_mean_abs_spearman,max_abs_peer_spearman,abs_spearman_rank
bike_FAT,-0.8386278693775346,,0.5,1
acc_spectral_centroid_mean,0.6073265935286861,0.4814328601735588,0.9261367290500996,5
acc_band_15_30_power_mean,0.5009205965548185,0.5230498461217643,0.915878834651746,21
acc_band_3_8_power_mean,-0.486059423793105,0.3849571200209007,0.5669174866550903,25
acc_energy_per_s_mean,0.4713964000015479,0.3764445547133133,0.9876840954402212,30
acc_spectral_entropy_mean,0.4675324950835024,0.4748119760454352,0.9261367290500996,33
acc_p95_abs_mean,0.4482129704932751,0.3688778299954576,0.9051707505305808,37
acc_ptp_mean,0.4280017755373448,0.3490151776110868,0.9543700559521512,41
acc_std_mean,0.4194813698206292,0.33104420640618,0.9980063026561192,43
bike_ISY,0.4193139346887673,,0.7641217193994752,44
