,acc_band_0p5_3_power_mean,acc_band_15_30_power_mean,acc_band_3_8_power_mean,acc_band_8_15_power_mean,acc_dom_freq_mean,acc_energy_per_s_mean,acc_p95_abs_mean,acc_ptp_mean,acc_rms_mean,acc_spectral_centroid_mean,acc_spectral_entropy_mean,acc_std_mean,gyro_band_0p5_3_power_mean,gyro_band_15_30_power_mean,gyro_band_3_8_power_mean,gyro_band_8_15_power_mean,gyro_dom_freq_mean,gyro_energy_per_s_mean,gyro_p95_abs_mean,gyro_ptp_mean,gyro_rms_mean,gyro_spectral_centroid_mean,gyro_spectral_entropy_mean,gyro_std_mean,bike_FAT,bike_ISY,bike_MTB,rider_weight_kg
acc_band_0p5_3_power_mean,1.0,-0.5072673483825326,0.06569554312174417,-0.297221686282076,-0.6468344889173898,-0.4453019486783716,-0.3048749115698759,-0.49118914399639846,-0.43655540549231464,-0.6703968100842498,-0.6160846356678886,-0.4471348639783909,-0.0201942247089845,-0.06633867129718952,0.18660364010547303,-0.45134735352755806,0.13359969071056255,-0.5022509486140588,-0.44420863078011447,-0.49803845906489164,-0.4550453405363689,-0.18689304778442345,-0.12251591742234227,-0.4788089266190752,0.24667380180984913,0.032606307135784655,-0.27928010894563376,-0.0532344855920358
acc_band_15_30_power_mean,-0.5072673483825326,1.0,-0.3474821531931314,-0.3226895620297125,0.11168854797867268,0.38028169014084506,0.16287221043153902,0.459611550582031,0.31725512894719915,0.9106051836130941,0.9158788346517461,0.3269663643964242,-0.1302977683452312,0.39102193067078267,-0.3109203164190623,0.5089716380474628,0.14251291478307915,0.4086436426779857,0.2790533153257444,0.41886938066756707,0.31860569811563444,0.41356357322014276,0.29609621197504665,0.33998970994919286,-0.3685930371871309,-0.41821133065462923,0.7868043678417601,-0.09657841101943107
acc_band_3_8_power_mean,0.06569554312174417,-0.3474821531931314,1.0,-0.28583831757669304,-0.08834314652273022,-0.5669174866550903,-0.5217377323300534,-0.5568203743005982,-0.556916843526915,-0.42526850601324845,-0.3414045919351727,-0.5474950157566403,0.08277059617981863,0.0828992218149077,0.0730593607305936,-0.26786288507299505,-0.15844818069870387,-0.27577336163097305,-0.21088172872853558,-0.28210817415910994,-0.3085085857611422,-0.10524792591163419,-0.0031834844684545628,-0.2812399511222587,0.3742636992977021,-0.2537621294480632,-0.12050156984963893,-0.008533032298905556
acc_band_8_15_power_mean,-0.297221686282076,-0.3226895620297125,-0.28583831757669304,1.0,0.4987102658003309,0.3831757669303492,0.45710335069779406,0.3454241430317062,0.439835359187086,-0.04016335455656312,-0.09341436748343945,0.43401504919930545,0.029423114026625508,-0.43276094925718694,0.1506849315068493,0.10135700045018972,-0.04543770869439738,0.2900829635346325,0.37622998263553925,0.24155894269727957,0.37381825197761914,-0.14669753681908804,-0.14631165991382084,0.35426715544408,-0.13751355618135266,0.6081785113587659,-0.47066495517741325,0.09473605177307645
acc_dom_freq_mean,-0.6468344889173898,0.11168854797867268,-0.08834314652273022,0.4987102658003309,1.0,0.3253775453443084,0.29744730793275753,0.277212466559772,0.3272244403935641,0.3164346851058072,0.22107657756265847,0.3280344820818341,0.18721683499297093,-0.2855720967827188,-0.09577932922104916,0.1736243354637997,-0.24502783997984082,0.2662121004330649,0.315981061760376,0.2832229758867357,0.2901407319045618,-0.12620449503247175,-0.12254310660149118,0.3032796080883018,-0.31712214780124287,0.3221218213026138,-0.004999673501370946,0.11265483747095492
acc_energy_per_s_mean,-0.4453019486783716,0.38028169014084506,-0.5669174866550903,0.3831757669303492,0.3253775453443084,1.0,0.8961026432568011,0.9543700559521513,0.9876840954402213,0.515820953115956,0.4794198983857483,0.9868480288121423,-0.10093896713615023,0.05958582545501318,-0.23290886873753938,0.5585246639655284,0.048003138501247176,0.6838060325422857,0.592642613672905,0.700977554826677,0.7172165412566724,0.34224065856325164,0.23445237635860827,0.70158852659335,-0.31472174713670403,0.23249714653342102,0.08222460060328304,-0.1970354730838192
acc_p95_abs_mean,-0.3048749115698759,0.16287221043153902,-0.5217377323300534,0.45710335069779406,0.29744730793275753,0.8961026432568011,1.0,0.7993118528522735,0.9051707505305807,0.2668017235835102,0.22007846163740433,0.9017621712007203,-0.1307158016592707,-0.15132805968229468,-0.058621133191845136,0.4066499453341051,0.03953393112606996,0.5535404206058268,0.5364653675477523,0.5721268248761978,0.6037044182905653,0.16965721268248762,0.1316161811048942,0.5879477779921538,-0.29770976080499034,0.4522353033180567,-0.1545255425130664,-0.2408642298918341
acc_ptp_mean,-0.49118914399639846,0.459611550582031,-0.5568203743005982,0.3454241430317062,0.277212466559772,0.9543700559521513,0.7993118528522735,1.0,0.9468132998906682,0.5877548395395202,0.5794263296675027,0.9498038459064891,-0.13119814779085473,0.15010611614894848,-0.28706026111003924,0.6158273843977105,0.05415359201254093,0.7604990674641456,0.6329024374557849,0.7452890861148627,0.7791497845520612,0.42269599331146696,0.2858061611679208,0.7687311081098462,-0.28495077105620503,0.11624857326671051,0.16870219778949452,-0.1608670520895945
acc_rms_mean,-0.43655540549231464,0.31725512894719915,-0.556916843526915,0.439835359187086,0.3272244403935641,0.9876840954402213,0.9051707505305807,0.9468132998906682,1.0,0.46205543764872337,0.42790533153257443,0.9980063026561193,-0.11698501511351213,0.04337899543378995,-0.20081677278281562,0.553090230883015,0.03897479898867962,0.6959611550582031,0.6164061997556113,0.7144189336934851,0.7384076146375973,0.3469676506527751,0.2237442922374429,0.7226188179304135,-0.2721917813074197,0.2721917813074197,0.0,-0.19354468714335785
acc_spectral_centroid_mean,-0.6703968100842498,0.9106051836130941,-0.42526850601324845,-0.04016335455656312,0.3164346851058072,0.515820953115956,0.2668017235835102,0.5877548395395202,0.46205543764872337,1.0,0.9261367290500997,0.46745771432246447,-0.12135828670654061,0.2531995626728407,-0.2580873368062255,0.5588783844620233,0.10973790449428654,0.47591484982957105,0.3364203485754711,0.5023152614316033,0.4151713936587562,0.3692841983407293,0.2631037365746993,0.43105665959225675,-0.48058861387091295,-0.22966181547813538,0.7102504293490484,-0.03364729781500259
