model_name,stage,candidate_type,feature_config,feature_space,n_features_in,pca_components,hidden_layers,hidden_units,activation,alpha,aggregate_method,n_seeds,run_balanced_weights,cv_run_accuracy,cv_macro_f1,cv_min_group_accuracy,cv_group_accuracy_std,cv_mean_confidence,cv_n_runs,cv_n_windows,cv_selection_score,model_complexity,near_best_cutoff,is_near_best
suspension_ffnn_ensemble_ens3_signal_full_pca10_tanh_h6_a1,ensemble,suspension_ffnn_classifier,signal_full_pca10,signal_full,128,10,"(6,)",6,tanh,1.0,mean_proba,3,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.8412334141315464,72,873,0.0197610402224262,16.0,0.0397610402224262,True
suspension_ffnn_stage1_s42_signal_full_pca10_tanh_h6_a1,stage1,suspension_ffnn_classifier,signal_full_pca10,signal_full,128,10,"(6,)",6,tanh,1.0,mean_proba,1,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.8388742706745328,72,873,0.0197610402224262,16.0,0.0397610402224262,True
suspension_ffnn_ensemble_ens3_signal_full_pca10_tanh_h8x4_a1,ensemble,suspension_ffnn_classifier,signal_full_pca10,signal_full,128,10,"(8, 4)",12,tanh,1.0,mean_proba,3,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.8510604515829381,72,873,0.0197610402224262,22.0,0.0397610402224262,True
suspension_ffnn_stage1_s42_signal_full_pca10_tanh_h8x4_a1,stage1,suspension_ffnn_classifier,signal_full_pca10,signal_full,128,10,"(8, 4)",12,tanh,1.0,mean_proba,1,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.860593885328229,72,873,0.0197610402224262,22.0,0.0397610402224262,True
suspension_ffnn_ensemble_ens3_signal_full_pca10_tanh_h12x6_a1,ensemble,suspension_ffnn_classifier,signal_full_pca10,signal_full,128,10,"(12, 6)",18,tanh,1.0,mean_proba,3,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.842937562817966,72,873,0.0197610402224262,28.0,0.0397610402224262,True
suspension_ffnn_stage1_s42_signal_full_pca10_tanh_h12x6_a1,stage1,suspension_ffnn_classifier,signal_full_pca10,signal_full,128,10,"(12, 6)",18,tanh,1.0,mean_proba,1,True,0.9861111111111112,0.9861050803300043,0.9166666666666666,0.031056499687497092,0.8380332143721896,72,873,0.0197610402224262,28.0,0.0397610402224262,True
suspension_ffnn_ensemble_ens3_signal_compact_pca10_tanh_h8x4_a1,ensemble,suspension_ffnn_classifier,signal_compact_pca10,signal_compact,24,10,"(8, 4)",12,tanh,1.0,mean_proba,3,True,0.9722222222222222,0.972482269503546,0.9166666666666666,0.039283710065919325,0.764812765939218,72,873,0.03485501204155765,22.0,0.0397610402224262,True
suspension_ffnn_stage1_s42_signal_compact_pca10_tanh_h8x4_a1,stage1,suspension_ffnn_classifier,signal_compact_pca10,signal_compact,24,10,"(8, 4)",12,tanh,1.0,mean_proba,1,True,0.9722222222222222,0.972482269503546,0.9166666666666666,0.039283710065919325,0.7491066455596358,72,873,0.03485501204155765,22.0,0.0397610402224262,True
suspension_ffnn_stage1_s42_signal_compact_pca10_tanh_h12x6_a1,stage1,suspension_ffnn_classifier,signal_compact_pca10,signal_compact,24,10,"(12, 6)",18,tanh,1.0,mean_proba,1,True,0.9722222222222222,0.9721739130434782,0.9166666666666666,0.039283710065919325,0.7678459877427588,72,873,0.03516336850162542,28.0,0.0397610402224262,True
suspension_ffnn_stage1_s42_signal_compact_pca10_tanh_h6_a1,stage1,suspension_ffnn_classifier,signal_compact_pca10,signal_compact,24,10,"(6,)",6,tanh,1.0,mean_proba,1,True,0.9583333333333334,0.9586107492642447,0.9166666666666666,0.041666666666666685,0.765029897315485,72,873,0.05013925073575528,16.0,0.0397610402224262,False
